image,kanjiname,hiragananame,romajiname,localisedname,nickname,position,element,playstyle,kick,control,technique,pressure,physical,agility,intelligence,bst
https://dxi4wb638ujep.cloudfront.net/1/k/o/w/owsgutjimb8.png,影野 仁,かげの じん,Jin Kageno,Jim Wraith,仁,DF,林 (Forest),Justice,86,90,91,98,102,88,110,665
https://dxi4wb638ujep.cloudfront.net/1/k/u/y/uy2tfhpjks0.png,目金 欠流,めがね かける,Kakeru Megane,William Glass,メガネ,FW,林 (Forest),Justice,110,108,98,88,85,81,97,667
https://dxi4wb638ujep.cloudfront.net/1/k/e/4/e4qtt3lwf_m.png,一之瀬 一哉,いちのせ かずや,Kazuya Ichinose,Erik Eagle,一之瀬,MF,林 (Forest),Bond,100,108,105,88,88,81,97,667
https://dxi4wb638ujep.cloudfront.net/1/k/-/x/-xzmaq-eqf8.png,土門 飛鳥,どもん あすか,Asuka Domon,Bobby Shearer,土門,DF,林 (Forest),Tension,86,90,91,98,102,88,110,665
https://dxi4wb638ujep.cloudfront.net/1/k/c/b/cb88nfolkwe.png,木野 秋,きの あき,Aki Kino,Silvia Woods,木野,GK,山 (Mountain),Tension,90,97,91,98,105,111,97,689
https://dxi4wb638ujep.cloudfront.net/1/k/z/p/zpndk6oxjls.png,音無 春奈,おとなし はるな,Haruna Otonashi,Celia Hills,音無,MF,風 (Wind),Bond,104,112,109,91,92,85,100,693
https://dxi4wb638ujep.cloudfront.net/1/k/x/i/xikbkjcdmjs.png,雷門 夏未,らいもん なつみ,Natsumi Raimon,Nelly Raimon,夏未,FW,火 (Fire),Bond,121,115,105,88,85,85,93,692
https://dxi4wb638ujep.cloudfront.net/1/k/9/w/9wtikebapts.png,源田 幸次郎,げんだ こうじろう,Kojiro Genda,Joseph King,げんおう,GK,火 (Fire),Breach,90,97,91,98,105,111,97,689
https://dxi4wb638ujep.cloudfront.net/1/k/d/5/d5w9zd0i6nc.png,大野 伝助,おおの でんすけ,Densuke Ono,Peter Drent,だいでん,DF,山 (Mountain),Rough Play,83,86,88,95,99,85,107,643
https://dxi4wb638ujep.cloudfront.net/1/k/s/r/srbc08syx-0.png,万丈 一道,ばんじょう かずみち,Kazumichi Banjo,Ben Simmons,万丈,DF,林 (Forest),Justice,79,83,81,98,102,85,114,642
https://dxi4wb638ujep.cloudfront.net/1/k/u/w/uwgaalaes40.png,成神 健也,なるかみ けんや,Kenya Narukami,Alan Master,成神,MF,風 (Wind),Counter,93,108,109,81,78,78,97,644
https://dxi4wb638ujep.cloudfront.net/1/k/f/y/fy3h3amk_lc.png,五条 勝,ごじょう まさる,Masaru Gojo,Gus Martin,五条,DF,林 (Forest),Bond,86,90,91,98,102,88,110,665
https://dxi4wb638ujep.cloudfront.net/1/k/_/3/_3uukhtskrs.png,辺見 渡,へんみ わたる,Wataru Henmi,Herman Waldon,辺見,MF,風 (Wind),Rough Play,93,108,109,81,78,78,97,644
https://dxi4wb638ujep.cloudfront.net/1/k/o/f/ofl1j41wnye.png,咲山 修二,さきやま しゅうじ,Shuji Sakiyama,John Bloom,咲山,MF,火 (Fire),Tension,93,108,109,81,78,78,97,644
https://dxi4wb638ujep.cloudfront.net/1/k/6/1/61at4120ans.png,洞面 秀一郎,どうめん しゅういちろう,Shuichiro Domen,Derek Swing,洞面,MF,風 (Wind),Counter,93,108,109,81,78,78,97,644
https://dxi4wb638ujep.cloudfront.net/1/k/l/d/ldrmvkqotue.png,寺門 大貴,じもん だいき,Daiki Jimon,Daniel Hatch,寺門,FW,林 (Forest),Rough Play,107,104,95,84,82,78,93,643
https://dxi4wb638ujep.cloudfront.net/1/k/l/1/l1wbplzhm4k.png,鬼道 有人,きどう ゆうと,Yuto Kido,Jude Sharp,鬼道,MF,風 (Wind),Justice,104,112,109,91,92,85,100,693
https://dxi4wb638ujep.cloudfront.net/1/k/u/d/udbgi0_9hlm.png,佐久間 次郎,さくま じろう,Jiro Sakuma,David Samford,佐久間,FW,林 (Forest),Counter,121,115,105,88,85,85,93,692
https://dxi4wb638ujep.cloudfront.net/1/k/0/y/0yivxpk1ur8.png,兵藤 雄平,ひょうどう ゆうへい,Yuhei Hyodo,Bob Carlton,兵藤,GK,林 (Forest),Justice,79,86,81,88,95,101,86,616
https://dxi4wb638ujep.cloudfront.net/1/k/f/a/fat0cwsp5yu.png,恵那 和樹,えな かずき,Kazuki Ena,Cliff Tomlinson,恵那,FW,風 (Wind),Breach,104,101,91,81,78,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/h/7/h7uoyp-j8eu.png,椋本 圭,むくもと けい,Kei Mukumoto,Jim Lawrenson,椋本,FW,風 (Wind),Tension,110,104,95,77,75,75,83,619
https://dxi4wb638ujep.cloudfront.net/1/k/2/t/2tljfwyzrt8.png,渋木 翔大,しぶき しょうだい,Shodai Shibuki,Barry Potts,渋木,MF,風 (Wind),Rough Play,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/w/8/w8g8mttrknm.png,大楠 星士,おおくす せいじ,Seiji Okusu,Steve Ingham,大楠,FW,山 (Mountain),Bond,104,101,91,81,78,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/8/w/8wocttgsuu0.png,影山 零治,かげやま れいじ,Reiji Kageyama,Ray Dark,影山,MF,風 (Wind),Tension,93,108,109,81,78,78,97,644
https://dxi4wb638ujep.cloudfront.net/1/k/n/y/ny_j-sgwdnc.png,安西 勝,あんざい まさる,Masaru Anzai,Stephen Black,安西,DF,林 (Forest),Tension,79,83,84,91,95,81,104,617
https://dxi4wb638ujep.cloudfront.net/1/k/v/a/vaeuza7dvs8.png,鉈 十三,なた じゅうぞう,Juzo Nata,Nathan Jones,十三,GK,風 (Wind),Rough Play,83,90,84,91,99,104,90,641
https://dxi4wb638ujep.cloudfront.net/1/k/p/v/pv9hgholaym.png,三途 渡,さんず わたる,Wataru Sanzu,Russell Walk,三途,DF,林 (Forest),Justice,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/-/h/-hman4ox3bk.png,柳田 しげる,やなぎだ しげる,Shigeru Yanagida,Jason Jones,柳田,DF,風 (Wind),Bond,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/8/m/8mlcjh6dyhk.png,不乱 拳,ふらん けん,Ken Furan,Ken Furan,フランケン,DF,山 (Mountain),Rough Play,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/n/o/no69oecnf0m.png,屍 藤美,しかばね ふじみ,Fujimi Shikabane,Jerry Fulton,藤美,DF,火 (Fire),Rough Play,79,83,84,91,95,81,104,617
https://dxi4wb638ujep.cloudfront.net/1/k/t/h/thziddpvqu8.png,霊幻 道久,れいげん みちひさ,Michihisa Reigen,Ray Mannings,霊幻,MF,風 (Wind),Tension,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/c/j/cjopw8pvhnu.png,木乃伊 魔美,きのい まみ,Mami Kinoi,Robert Mayer,ミイラ,MF,林 (Forest),Tension,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/o/j/ojxxbxm3gy8.png,八墓 祟,やつはか たたる,Tataru Yatsuhaka,Alexander Brave,八墓,MF,火 (Fire),Counter,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/z/l/zlmqsoqnnru.png,幽谷 博之,ゆうこく ひろゆき,Hiroyuki Yukoku,Johan Tassman,幽谷,FW,林 (Forest),Rough Play,114,108,98,81,78,78,86,643
https://dxi4wb638ujep.cloudfront.net/1/k/3/j/3j9d2pjesh0.png,月村 憲一,つきむら けんいち,Kenichi Tsukimura,Troy Moon,月村,MF,火 (Fire),Bond,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/g/l/glm8bwf-b0c.png,武羅渡 牙,ぶらど きば,Kiba Burado,Burt Wolf,ブラッド,MF,山 (Mountain),Rough Play,93,108,109,81,78,78,97,644
https://dxi4wb638ujep.cloudfront.net/1/k/m/k/mkvjitw20us.png,不死 祀,ふし まつる,Matsuru Fushi,Rob Crombie,不死,GK,山 (Mountain),Tension,79,86,81,91,95,98,86,616
https://dxi4wb638ujep.cloudfront.net/1/k/x/m/xmeolswmzne.png,人形 幻,ひとがた げん,Gen Hitogata,Chuck Dollman,にんぎょう,FW,林 (Forest),Rough Play,110,104,95,77,75,75,83,619
https://dxi4wb638ujep.cloudfront.net/1/k/v/t/vtz0llegche.png,円谷 未知,つぶらや みち,Michi Tsuburaya,Uxley Allen,円谷,FW,風 (Wind),Breach,104,101,91,81,78,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/k/f/kfovm0iaxss.png,黒上 呪,くろがみ のろい,Noroi Kurogami,Phil Noir,黒上,FW,林 (Forest),Bond,104,101,91,81,78,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/e/q/eqlg1pxseyc.png,魔界 崇雄,まかい たかお,Takao Makai,Mick Askley,魔界,MF,林 (Forest),Bond,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/p/5/p54_qlu6ghc.png,地木流 灰人,じきる はいと,Haito Jikiru,Hekyll Jyde,地木流,DF,山 (Mountain),Rough Play,79,83,84,91,95,81,104,617
https://dxi4wb638ujep.cloudfront.net/1/k/t/2/t2vvykaoccs.png,提灯 ほのり,ちょうちん ほのり,Honori Chochin,Lanny Tern,提灯,GK,風 (Wind),Counter,79,86,81,91,95,98,86,616
https://dxi4wb638ujep.cloudfront.net/1/k/p/a/pakshsy_xr0.png,猪口 兵吾,いのくち ひょうご,Hyogo Inokuchi,Charlie Boardfield,イノシシ,GK,火 (Fire),Rough Play,79,86,81,88,95,101,86,616
https://dxi4wb638ujep.cloudfront.net/1/k/v/v/vvpnupt3ele.png,鶏井 亮太,とりい りょうた,Ryota Torii,Hugo Tallgeese,ニワトリ,MF,火 (Fire),Rough Play,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/e/h/ehyg5wlnp4s.png,魚住 拓人,うおずみ たくと,Takuto Uozumi,Wilson Fishman,サカナ,DF,林 (Forest),Bond,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/c/m/cmfaxpzhs-s.png,蛙田 達士,かえるだ たつひと,Tatsuhito Kaeruda,Peter Johnson,カエル,DF,林 (Forest),Counter,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/t/o/tou76w_bbne.png,獅子王 吼,ししおう こう,Ko Shishio,Leonard O'Shea,ライオン,DF,山 (Mountain),Rough Play,79,83,84,91,95,81,104,617
https://dxi4wb638ujep.cloudfront.net/1/k/n/h/nhnoplkt0t0.png,香芽 レオン,かめ れおん,Leon Kame,Cham Lion,カメレオン,MF,風 (Wind),Breach,97,104,102,84,85,78,93,643
https://dxi4wb638ujep.cloudfront.net/1/k/8/j/8j8ve0spzec.png,大鷲 誠次,おおわし せいじ,Seiji Owashi,Steve Eagle,ワシ,MF,風 (Wind),Tension,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/i/j/ijd315vl-h0.png,猿田 登,さるた のぼる,Noboru Saruta,Bruce Monkey,サル,MF,風 (Wind),Rough Play,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/5/l/5lywygjxtsc.png,五利 真吾,ごり しんご,Shingo Gori,Gary Lancaster,ゴリラ,FW,山 (Mountain),Bond,104,101,91,81,78,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/x/j/xjpbcha4y-8.png,蛇丸 彰真,へびまる しょうま,Shoma Hebimaru,Harry Snake,ヘビ,FW,林 (Forest),Breach,104,101,91,81,78,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/m/l/mly6v4mcfnu.png,水前寺 馳威太,すいぜんじ ちいた,Chiita Suizenji,Adrian Speed,チーター,FW,風 (Wind),Rough Play,114,108,98,81,78,78,86,643
https://dxi4wb638ujep.cloudfront.net/1/k/g/k/gk7p8ltkqtk.png,小荒 登,こあら のぼる,Noboru Koara,Alan Coe,コアラ,MF,林 (Forest),Justice,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/3/m/3mkura1whem.png,判 竹夫,ばん たけお,Takeo Ban,Philip Anders,パンダ,FW,火 (Fire),Breach,110,104,95,77,75,75,83,619
https://dxi4wb638ujep.cloudfront.net/1/k/1/t/1tny_dnccym.png,荒井川 熊巳,あらいがわ くまみ,Kumami Araigawa,Rocky Rackham,アライグマ,DF,林 (Forest),Justice,79,83,84,91,95,81,104,617
https://dxi4wb638ujep.cloudfront.net/1/k/e/f/ef8ts8bmvrk.png,根津 光夫,ねず みつお,Mitsuo Nezu,Matt Mouseman,ネズミ,MF,山 (Mountain),Bond,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/k/q/kqfmbh0ualu.png,牛尾 空也,うしお くうや,Kuya Ushio,Chad Bullford,ウシ,GK,火 (Fire),Breach,79,86,81,88,95,101,86,616
https://dxi4wb638ujep.cloudfront.net/1/k/e/-/e-qruphieye.png,他山 幸助,たざん こうすけ,Kosuke Tazan,Harry Savage,他山,MF,風 (Wind),Justice,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/n/z/nz2ghxvgpic.png,富良 民子,ふら みんこ,Minko Fura,Flammie Gonzalez,富良,FW,火 (Fire),Justice,110,104,95,77,75,75,83,619
https://dxi4wb638ujep.cloudfront.net/1/k/l/s/lsetbtpeusc.png,杉森 威,すぎもり たけし,Takeshi Sugimori,Thomas Feldt,威,GK,林 (Forest),Counter,83,90,84,91,99,104,90,641
https://dxi4wb638ujep.cloudfront.net/1/k/r/d/rdnyso6mbms.png,弘山 誘,ひろやま ゆう,Yu Hiroyama,Harry Leading,誘,DF,風 (Wind),Breach,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/a/r/arw5_xc22_e.png,花岡 強,はなおか つよし,Tsuyoshi Hanaoka,Terry Stronger,強,DF,火 (Fire),Justice,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/y/k/ykrlrooaz5e.png,室伏 恐,むろぶし きょう,Kyo Murobushi,Philip Marvel,恐,DF,山 (Mountain),Breach,79,83,84,91,95,81,104,617
https://dxi4wb638ujep.cloudfront.net/1/k/p/i/pige8xogeks.png,稲田 則,いなだ のり,Nori Inada,Noel Good,則,DF,林 (Forest),Rough Play,79,83,84,91,95,81,104,617
https://dxi4wb638ujep.cloudfront.net/1/k/j/n/jndxvkdorqc.png,寺川 巌,てらかわ いわお,Iwao Terakawa,Tyron Rock,巌,MF,火 (Fire),Counter,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/4/l/4lyqc17sgz0.png,藤丸 啓,ふじまる けい,Kei Fujimaru,Francis Tell,啓,MF,林 (Forest),Bond,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/m/p/mpniz44whmc.png,山郷 暴,さんごう ばく,Baku Sango,Samuel Buster,暴,MF,火 (Fire),Bond,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/9/n/9n8pehekmv0.png,山岸 迫,やまぎし せり,Seri Yamagishi,Jonathan Seller,迫,FW,風 (Wind),Justice,114,108,98,81,78,78,86,643
https://dxi4wb638ujep.cloudfront.net/1/k/t/p/tpnkegxdt5u.png,大部 信,おおべ しん,Shin Obe,Victor Kind,信,MF,林 (Forest),Bond,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/i/n/inwfp5x5ak8.png,下鶴 改,しもづる あらた,Arata Shimozuru,Neil Turner,改,FW,火 (Fire),Tension,114,108,98,81,78,78,86,643
https://dxi4wb638ujep.cloudfront.net/1/k/m/7/m7wvasweef0.png,下鶴 改,しもづる あらた,Arata Shimozuru,Neil Turner,改,FW,火 (Fire),,?,?,?,?,?,?,?,0
https://dxi4wb638ujep.cloudfront.net/1/k/c/i/ci1w6kex1qm.png,真下 乏,ましも とぼし,Toboshi Mashimo,Reg Underwood,真下,GK,林 (Forest),Tension,79,86,81,88,95,101,86,616
https://dxi4wb638ujep.cloudfront.net/1/k/z/g/zgerxbilyzk.png,都築 静,つづき しずか,Shizuka Tsuzuki,Patrick Stiller,都築,MF,風 (Wind),Tension,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/x/b/xbdn5cwndfk.png,平生 仁,ひらお じん,Jin Hirao,Charles Oughtry,平生,MF,山 (Mountain),Breach,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/a/p/apysu9wdwsm.png,長友 喪,ながとも そう,So Nagatomo,Clive Mooney,長友,FW,火 (Fire),Rough Play,104,101,91,81,78,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/g/g/ggrzhgjvfm8.png,水淵 無,みずぶち なし,Nashi Mizubuchi,Neil Waters,水淵,DF,林 (Forest),Justice,79,83,84,91,95,81,104,617
https://dxi4wb638ujep.cloudfront.net/1/k/v/w/vwbkdwhyzbs.png,富山 新一郎,とやま しんいちろう,Shinichiro Toyama,Newton Thomas,富山,MF,林 (Forest),Counter,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/n/b/nbqrnz0o4lc.png,相戸留 捜,あいどる そう,So Aidoru,Sam Idol,アイドル,GK,山 (Mountain),Tension,83,90,84,91,99,104,90,641
https://dxi4wb638ujep.cloudfront.net/1/k/t/u/tujeeebgnfs.png,線路 鉄雄,すじみち てつお,Tetsuo Sujimichi,Marcus Train,てっちゃん,DF,火 (Fire),Rough Play,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/c/g/cg4_z7n8g2e.png,野部流 来人,のべる らいと,Raito Noberu,Light Nobel,ノベル,MF,林 (Forest),Justice,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/e/n/en_jdi1qlwe.png,無敵 英雄,むてき ひでお,Hideo Muteki,Walter Valiant,ヒーロー,MF,火 (Fire),Counter,93,108,109,81,78,78,97,644
https://dxi4wb638ujep.cloudfront.net/1/k/v/p/vpocwdtqids.png,仮沢 装,かりさわ そう,So Karisawa,Spencer Gates,コスプレ,DF,山 (Mountain),Rough Play,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/p/g/pgt3jami9jc.png,御良 一輝,おんら いつき,Itsuki Onra,Josh Spear,オンライン,FW,林 (Forest),Justice,104,101,91,81,78,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/-/i/-icwo_ayqq0.png,自作 派流,おのとも はる,Haru Onotomo,Gaby Farmer,じさくは,FW,風 (Wind),Bond,104,101,91,81,78,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/k/i/kijo_yd63vc.png,呂簿 合機,ろぼ ごうき,Goki Robo,A. Woodbridge,ロボ,MF,風 (Wind),Counter,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/7/k/7ksvsnlaac0.png,芸夢 好武,げいむ このむ,Konomu Geimu,Gus Gamer,ゲームき,FW,火 (Fire),Tension,104,101,91,81,78,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/v/i/vijiimsj7wu.png,漫画 萌,まんが もえ,Moe Manga,Mark Gambling,まんがか,FW,風 (Wind),Bond,114,108,98,81,78,78,86,643
https://dxi4wb638ujep.cloudfront.net/1/k/k/k/kk4dlzkzwd8.png,明井戸 達人,あけいと たつひと,Tatsuhito Akeito,Theodore Master,アーケード,FW,林 (Forest),Rough Play,110,104,95,77,75,75,83,619
https://dxi4wb638ujep.cloudfront.net/1/k/e/l/elb22u_7jjm.png,木内 努,きうち つとむ,Tsutomu Kiuchi,Ham Signalman,木内,MF,風 (Wind),Breach,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/1/n/1nqxbrzboqk.png,造形 製雄,ぞうけい さくお,Sakuo Zokei,Bill Formby,フィギュア,DF,山 (Mountain),Breach,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/3/s/3stl1iltlwk.png,闘馬 草太,とうま そうた,Sota Toma,Grant Eldorado,闘馬,GK,火 (Fire),Tension,79,86,81,91,95,98,86,616
https://dxi4wb638ujep.cloudfront.net/1/k/g/e/gecqy3txmlm.png,声模 索太,せいも さくた,Sakuta Seimo,Mike Vox,せいゆう,DF,風 (Wind),Counter,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mr_flqyftf8.png,熱斗 探李,ねっと さぐり,Saguri Netto,Ollie Webb,ネット,DF,林 (Forest),Counter,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/b/8/b8ksybiqu-e.png,真二屋 才人,まにや さいと,Saito Maniya,Manny Artic,真二屋,MF,山 (Mountain),Justice,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/q/u/quvzfkeq5ns.png,明童 芽衣奈,めいどう めいな,Meina Meido,Meina Maiden,芽衣奈,DF,林 (Forest),Breach,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/t/b/tb-t5rxymcu.png,百地 三太,ももち さんた,Santa Momochi,Morgan Sanders,百地,GK,林 (Forest),Bond,79,86,81,88,95,101,86,616
https://dxi4wb638ujep.cloudfront.net/1/k/n/u/nudyqmi6t8k.png,藤林 長門,ふじばやし ながと,Nagato Fujibayashi,Newton Flust,藤林,DF,山 (Mountain),Tension,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/8/g/8gs5hzea-pm.png,高坂 仁,こうさか じん,Jin Kosaka,Jim Hillfort,高坂,DF,風 (Wind),Justice,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/-/n/-nrlpqws7jm.png,児雷也 蟇助,じらいや がますけ,Gamasuke Jiraiya,Galen Thunderbird,児雷也,DF,山 (Mountain),Bond,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/p/p/ppaeevwww6k.png,石川 五衛太,いしかわ ごえた,Goeta Ishikawa,Finn Stoned,ゴエモン,DF,火 (Fire),Tension,76,79,77,95,99,81,110,617
https://dxi4wb638ujep.cloudfront.net/1/k/v/g/vg5xxifejau.png,風魔 小平太,ふうま こへいた,Koheita Fuma,Phil Wingate,風魔,MF,山 (Mountain),Justice,97,104,102,84,85,78,93,643
https://dxi4wb638ujep.cloudfront.net/1/k/e/i/eiiq63jkop8.png,甲賀 幻,こうが げん,Gen Koga,Jez Shell,甲賀,MF,風 (Wind),Bond,90,104,105,77,75,75,93,619
https://dxi4wb638ujep.cloudfront.net/1/k/q/i/qi3il6ggpwu.png,猿飛 佐之助,さるとび さのすけ,Sanosuke Sarutobi,Jupiter Jumper,猿飛,MF,風 (Wind),Rough Play,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/b/k/bkgpmfg8el8.png,柳生 十郎,やぎゅう じゅうろう,Juro Yagyu,Sam Samurai,柳生,FW,林 (Forest),Breach,110,104,95,77,75,75,83,619
https://dxi4wb638ujep.cloudfront.net/1/k/1/i/1idk8ep1ljc.png,初鳥 伴三,はつとり はんぞう,Hanzo Hatsutori,Hank Sullivan,初鳥,MF,林 (Forest),Bond,97,104,102,84,85,78,93,643
https://dxi4wb638ujep.cloudfront.net/1/k/e/k/eksfr7ppi60.png,霧隠 才次,きりがくれ さいじ,Saiji Kirigakure,Sail Bluesea,霧隠,FW,火 (Fire),Breach,114,108,98,81,78,78,86,643
https://dxi4wb638ujep.cloudfront.net/1/k/k/l/klpwcmch9ae.png,鉢屋 也三郎,はちや やさぶろう,Yasaburo Hachiya,John Reynolds,鉢屋,FW,風 (Wind),Bond,110,104,95,77,75,75,83,619
https://dxi4wb638ujep.cloudfront.net/1/k/v/n/vn-rvz69qps.png,加藤 段,かとう だん,Dan Kato,Dan Hopper,加藤,DF,山 (Mountain),Counter,79,83,84,91,95,81,104,617
https://dxi4wb638ujep.cloudfront.net/1/k/x/s/xs5nbaorvvs.png,出浦 清盛,いでうら きよもり,Kiyomori Ideura,Cal Trops,出浦,MF,林 (Forest),Tension,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/m/e/meiss_or4ce.png,滝川 一馬,たきがわ かずま,Kazuma Takigawa,Winston Falls,滝川,MF,風 (Wind),Rough Play,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/g/r/grrz_i7jn80.png,城戸 弥門,きど やもん,Yamon Kido,Kevin Castle,城戸,GK,風 (Wind),Bond,79,86,81,88,95,101,86,616
https://dxi4wb638ujep.cloudfront.net/1/k/e/8/e8o-flnjyhm.png,伊賀島 仙一,いがじま せんいち,Senichi Igajima,Sammy Igajima,伊賀島,MF,火 (Fire),Breach,93,101,98,81,82,75,90,620
https://dxi4wb638ujep.cloudfront.net/1/k/_/x/_xzxavtxgje.png,綾野 勇一,あやの ゆういち,Yuichi Ayano,Albert Green,綾野,GK,火 (Fire),Counter,83,90,84,95,99,101,90,642
https://dxi4wb638ujep.cloudfront.net/1/k/f/4/f4qetiy5zd0.png,炭野 詠輔,すみの えいすけ,Eisuke Sumino,Seward Hayseed,炭野,DF,山 (Mountain),Bond,76,79,77,95,99,81,110,617
